_id,index1,meteo_date,datetime,year,month,day,weekday_int,weekday_str,meteo_tmed,meteo_prec,meteo_tmin,meteo_tmax,meteo_dir,meteo_velmedia,meteo_racha,meteo_presMax,meteo_presMin
9836,"(2017, 4, 1)",01/04/2017,20170401,2017,4,1,6,Saturday,12.6,0.0,8.0,17.3,30.0,3.3,13.6,944.8,941.4
7984,"(2017, 4, 2)",02/04/2017,20170402,2017,4,2,7,Sunday,12.8,0.0,6.7,19.0,8.0,2.2,9.7,944.3,941.5
9627,"(2017, 4, 3)",03/04/2017,20170403,2017,4,3,1,Monday,12.5,0.0,5.7,19.3,4.0,1.1,8.6,946.7,944.2
10545,"(2017, 4, 4)",04/04/2017,20170404,2017,4,4,2,Tuesday,14.5,0.0,7.0,22.0,5.0,1.4,11.1,946.2,942.8
10124,"(2017, 4, 5)",05/04/2017,20170405,2017,4,5,3,Wednesday,13.6,0.0,8.2,19.0,4.0,3.1,11.7,944.2,942.0
10222,"(2017, 4, 6)",06/04/2017,20170406,2017,4,6,4,Thursday,14.8,0.0,8.0,21.5,10.0,2.2,10.0,944.6,939.9
10187,"(2017, 4, 7)",07/04/2017,20170407,2017,4,7,5,Friday,16.4,0.0,9.7,23.0,6.0,1.4,7.5,942.5,939.5
8231,"(2017, 4, 8)",08/04/2017,20170408,2017,4,8,6,Saturday,16.6,0.0,10.0,23.2,10.0,0.8,4.4,944.6,941.2
7350,"(2017, 4, 9)",09/04/2017,20170409,2017,4,9,7,Sunday,17.3,0.0,10.6,24.0,11.0,1.7,7.2,946.5,943.7
8983,"(2017, 4, 10)",10/04/2017,20170410,2017,4,10,1,Monday,18.0,0.0,10.6,25.3,12.0,0.6,5.3,947.9,944.0
9125,"(2017, 4, 11)",11/04/2017,20170411,2017,4,11,2,Tuesday,20.0,0.0,12.3,27.7,21.0,0.8,6.4,946.5,940.9
8244,"(2017, 4, 12)",12/04/2017,20170412,2017,4,12,3,Wednesday,20.1,0.0,12.0,28.2,23.0,1.4,8.3,943.5,939.9
5468,"(2017, 4, 13)",13/04/2017,20170413,2017,4,13,4,Thursday,19.7,0.0,12.0,27.4,26.0,2.2,10.8,942.6,939.5
5159,"(2017, 4, 14)",14/04/2017,20170414,2017,4,14,5,Friday,19.2,0.0,13.0,25.4,23.0,1.7,9.7,942.1,939.6
5656,"(2017, 4, 15)",15/04/2017,20170415,2017,4,15,6,Saturday,20.2,0.0,13.5,27.0,99.0,1.7,8.9,943.7,939.8
6124,"(2017, 4, 16)",16/04/2017,20170416,2017,4,16,7,Sunday,18.5,0.0,11.0,26.0,4.0,1.9,8.1,945.3,941.0
10041,"(2017, 4, 17)",17/04/2017,20170417,2017,4,17,1,Monday,20.2,0.0,12.7,27.6,3.0,1.7,9.2,941.8,937.5
11316,"(2017, 4, 18)",18/04/2017,20170418,2017,4,18,2,Tuesday,20.8,0.0,14.0,27.5,4.0,1.9,10.8,940.1,935.8
10652,"(2017, 4, 19)",19/04/2017,20170419,2017,4,19,3,Wednesday,17.8,2.5,12.0,23.5,2.0,2.8,10.3,941.4,937.3
10328,"(2017, 4, 20)",20/04/2017,20170420,2017,4,20,4,Thursday,14.4,0.0,9.4,19.5,12.0,3.1,11.7,947.2,942.0
11521,"(2017, 4, 21)",21/04/2017,20170421,2017,4,21,5,Friday,13.9,0.0,6.1,21.7,14.0,2.2,9.2,948.3,944.8
9082,"(2017, 4, 22)",22/04/2017,20170422,2017,4,22,6,Saturday,13.9,0.0,6.1,21.7,9.0,0.8,6.7,949.2,941.4
9881,"(2017, 4, 23)",23/04/2017,20170423,2017,4,23,7,Sunday,18.4,0.0,10.9,26.0,15.0,0.8,4.7,942.3,937.8
10768,"(2017, 4, 24)",24/04/2017,20170424,2017,4,24,1,Monday,19.8,1.3,12.6,27.0,3.0,1.1,9.4,940.0,934.5
10791,"(2017, 4, 25)",25/04/2017,20170425,2017,4,25,2,Tuesday,18.0,0.0,12.9,23.2,25.0,2.5,14.7,935.7,929.6
10933,"(2017, 4, 26)",26/04/2017,20170426,2017,4,26,3,Wednesday,13.4,0.2,6.3,20.5,4.0,1.7,13.1,932.6,929.9
10128,"(2017, 4, 27)",27/04/2017,20170427,2017,4,27,4,Thursday,10.0,0.0,3.8,16.1,4.0,3.6,15.3,938.9,932.3
9445,"(2017, 4, 28)",28/04/2017,20170428,2017,4,28,5,Friday,10.6,3.3,3.3,17.8,2.0,3.3,13.9,939.0,935.9
3984,"(2017, 4, 29)",29/04/2017,20170429,2017,4,29,6,Saturday,10.1,4.5,7.8,12.4,11.0,0.6,6.1,937.3,933.1
4206,"(2017, 4, 30)",30/04/2017,20170430,2017,4,30,7,Sunday,11.0,0.6,7.7,14.4,25.0,1.7,14.7,939.7,933.3
6009,"(2017, 5, 1)",01/05/2017,20170501,2017,5,1,1,Monday,11.9,0.0,5.2,18.6,30.0,1.1,8.1,943.1,939.7
8156,"(2017, 5, 2)",02/05/2017,20170502,2017,5,2,2,Tuesday,16.4,0.0,9.2,23.7,99.0,1.7,6.4,943.3,939.0
11172,"(2017, 5, 3)",03/05/2017,20170503,2017,5,3,3,Wednesday,19.4,0.0,12.0,26.7,24.0,1.1,6.7,940.1,934.7
11768,"(2017, 5, 4)",04/05/2017,20170504,2017,5,4,4,Thursday,20.1,0.0,14.2,26.0,5.0,1.4,5.3,935.8,931.1
10419,"(2017, 5, 5)",05/05/2017,20170505,2017,5,5,5,Friday,17.2,0.3,11.5,23.0,28.0,3.6,13.6,937.2,931.3
9439,"(2017, 5, 6)",06/05/2017,20170506,2017,5,6,6,Saturday,15.6,0.0,9.5,21.6,23.0,1.7,8.3,943.3,937.0
