id;origen;final;status;reason;distance;duration
83-24;83;24;200;OK;3155.1;668.8
95-55;95;55;200;OK;3428.7;699.1
19-58;19;58;200;OK;1091.7;229.5
98-104;98;104;200;OK;1498.7;338.2
1-57;1;57;200;OK;1375.5;400.1
163-69;163;69;200;OK;2665.6;533.1
37-135;37;135;200;OK;3463.0;832.8
15-41;15;41;200;OK;2030.5;410.9
30-121;30;121;200;OK;2371.4;474.3
53-165;53;165;200;OK;4150.8;877.9
23-128;23;128;200;OK;3158.8;657.9
42-95;42;95;200;OK;3639.2;761.0
84-79;84;79;200;OK;1295.4;274.2
161-125;161;125;200;OK;2683.0;536.6
123-132;123;132;200;OK;1291.1;271.5
166-44;166;44;200;OK;3955.7;859.0
9-77;9;77;200;OK;4003.1;800.6
161-41;161;41;200;OK;4617.5;935.9
62-33;62;33;200;OK;1588.4;317.7
18-9;18;9;200;OK;1142.8;237.8
7-139;7;139;200;OK;4391.8;878.3
50-57;50;57;200;OK;1034.2;217.6
111-59;111;59;200;OK;1677.0;354.9
120-13;120;13;200;OK;1594.7;318.9
58-65;58;65;200;OK;2715.7;543.1
83-23;83;23;200;OK;3146.9;655.5
12-129;12;129;200;OK;4286.5;870.3
24-163;24;163;200;OK;1880.1;413.8
23-47;23;47;200;OK;1926.3;548.4
89-23;89;23;200;OK;4002.4;826.6
82-23;82;23;200;OK;3943.1;827.1
107-49;107;49;200;OK;3138.8;709.7
29-126;29;126;200;OK;3464.3;743.4
17-65;17;65;200;OK;3155.4;631.0
45-35;45;35;200;OK;1227.0;252.4
118-25;118;25;200;OK;2520.1;528.2
113-56;113;56;200;OK;1858.1;416.0
54-66;54;66;200;OK;3291.1;717.5
33-96;33;96;200;OK;2789.5;562.9
95-135;95;135;200;OK;4794.8;1048.0
5-139;5;139;200;OK;3909.3;785.0
109-129;109;129;200;OK;3488.7;710.7
25-81;25;81;200;OK;4739.1;973.3
23-43;23;43;200;OK;1943.6;444.9
121-168;121;168;200;OK;1921.5;384.3
49-46;49;46;200;OK;1712.6;367.1
89-32;89;32;200;OK;3626.5;729.9
13-114;13;114;200;OK;3366.4;673.3
17-58;17;58;200;OK;1098.8;273.5
132-155;132;155;200;OK;5818.6;1184.1
160-118;160;118;200;OK;841.3;173.8
75-75;75;75;200;OK;0;0
174-122;174;122;200;OK;2164.9;585.6
114-8;114;8;200;OK;2720.1;544.0
41-61;41;61;200;OK;2871.1;578.2
174-46;174;46;200;OK;1910.1;562.6
55-106;55;106;200;OK;3999.7;799.9
35-26;35;26;200;OK;753.5;163.5
148-172;148;172;200;OK;1218.3;243.6
66-57;66;57;200;OK;4292.7;869.6
49-65;49;65;200;OK;4252.5;871.6
98-88;98;88;200;OK;2794.8;590.5
26-28;26;28;200;OK;615.8;211.3
1-26;1;26;200;OK;1169.6;249.0
159-113;159;113;200;OK;2518.5;541.9
21-114;21;114;200;OK;3364.4;678.5
26-5;26;5;200;OK;1325.6;300.8
128-49;128;49;200;OK;1677.5;353.9
135-41;135;41;200;OK;2827.1;638.4
126-95;126;95;200;OK;3822.8;777.9
132-131;132;131;200;OK;2568.5;526.9
147-96;147;96;200;OK;3460.9;751.1
42-131;42;131;200;OK;3029.5;605.9
81-81;81;81;200;OK;0;0
170-161;170;161;200;OK;2818.2;563.6
1-128;1;128;200;OK;2674.3;537.2
166-138;166;138;200;OK;3361.9;672.3
158-142;158;142;200;OK;1802.8;369.9
47-5;47;5;200;OK;3519.6;788.5
57-157;57;157;200;OK;4947.6;1033.6
132-156;132;156;200;OK;4450.7;910.5
13-63;13;63;200;OK;560.6;136.7
26-17;26;17;200;OK;364.5;80.0
108-9;108;9;200;OK;1214.4;242.9
132-72;132;72;200;OK;4062.4;825.7
16-16;16;16;200;OK;0;0
38-19;38;19;200;OK;1133.0;317.5
46-111;46;111;200;OK;2499.9;537.1
46-112;46;112;200;OK;2484.7;534.0
46-108;46;108;200;OK;3045.4;646.2
8-3;8;3;200;OK;1288.1;308.8
57-83;57;83;200;OK;2329.4;474.2
58-82;58;82;200;OK;4706.6;953.7
43-171;43;171;200;OK;4980.7;1003.1
71-61;71;61;200;OK;4141.3;836.3
42-164;42;164;200;OK;3807.7;780.0
57-164;57;164;200;OK;4258.1;895.7
110-57;110;57;200;OK;3567.8;724.3
12-172;12;172;200;OK;5043.3;1008.6
133-61;133;61;200;OK;3742.7;748.5
95-19;95;19;200;OK;1835.1;391.6
153-142;153;142;200;OK;1548.3;309.7
